,Temperature,Temperature,Temperature,Temperature,,Pression,,,,Vent,Vent,,Soleil,Soleil
,Actuelle,Ressentie,Minimale,Maximale,,Atmospherique,,Humidité,,Vitesse,Direction,,Lever,Coucher
Paris,11.99°C,10.55°C,11.16°C,13.24°C,,1024hPa,,50%,,26km/h,ENE,,07:24:58,20:22:55
Marseille,19.81°C,18.79°C,16.78°C,20.95°C,,1010hPa,,36%,,32km/h,NW,,07:17:31,20:05:58
Lyon,10.33°C,9.38°C,9.4°C,10.55°C,,1018hPa,,75%,,30km/h,NNW,,07:17:42,20:10:06
Toulouse,13.07°C,12.05°C,12.97°C,14.32°C,,1019hPa,,62%,,22km/h,NW,,07:32:58,20:21:55
Nice,16.1°C,15.65°C,15.92°C,18.91°C,,1009hPa,,72%,,13km/h,S,,07:09:37,19:58:41
Strasbourg,7.88°C,4.15°C,7.12°C,8.47°C,,1025hPa,,49%,,26km/h,ENE,,07:03:32,20:00:55
Bordeaux,14.21°C,13.1°C,14.21°C,15.25°C,,1020hPa,,54%,,15km/h,NE,,07:40:04,20:31:00
Lille,11.65°C,9.94°C,9.64°C,12.7°C,,1026hPa,,41%,,22km/h,NE,,07:20:15,20:21:41
Montpellier,18.16°C,17.02°C,17.27°C,18.59°C,,1012hPa,,38%,,24km/h,NNE,,07:23:14,20:12:11
Nantes,9.48°C,6.89°C,9.06°C,11.04°C,,1023hPa,,73%,,19km/h,ENE,,07:41:57,20:36:55
Rennes,10.96°C,9.76°C,10.94°C,12.46°C,,1024hPa,,63%,,9km/h,E,,07:41:38,20:38:14
Toulon,18.63°C,18.01°C,16.71°C,22.64°C,,1008hPa,,56%,,28km/h,SW,,07:15:24,20:03:36
Grenoble,10.11°C,9.4°C,8.29°C,12.39°C,,1016hPa,,85%,,19km/h,N,,07:14:33,20:06:00
Reims,11°C,9.46°C,11°C,11.26°C,,1025hPa,,50%,,20km/h,ENE,,07:17:45,20:16:26
Saint-Étienne,7.17°C,3.85°C,7.17°C,8.2°C,,1019hPa,,81%,,20km/h,N,,07:19:44,20:11:37
Angers,13.93°C,12.66°C,11.16°C,13.93°C,,1023hPa,,49%,,20km/h,NE,,07:37:43,20:33:08
Dijon,8.84°C,5.89°C,8.64°C,10.13°C,,1021hPa,,66%,,20km/h,NE,,07:15:30,20:10:36
Le Havre,11.51°C,10.23°C,10.86°C,11.51°C,,1026hPa,,58%,,19km/h,ENE,,07:33:11,20:32:23
Nîmes,17.05°C,15.83°C,15.85°C,18.55°C,,1013hPa,,39%,,35km/h,N,,07:21:08,20:10:26
Villeurbanne,10.35°C,9.37°C,9.64°C,10.59°C,,1018hPa,,74%,,33km/h,N,,07:17:28,20:09:53
